rank,cum_expected_profit
96,2188.0569554757894
97,2210.49993094096
98,2232.93866856286
99,2255.375062349044
100,2277.8040569716904
101,2300.2249764571475
102,2322.644702937379
103,2345.061186778892
104,2367.472880840363
105,2389.8701137054386
106,2412.2582770893714
107,2434.6417803769664
108,2457.0143158243613
109,2479.383362906217
110,2501.691606017672
111,2523.996890130604
112,2546.289162984843
113,2568.5704149692056
114,2590.8499646064065
115,2613.1275488157376
116,2635.3948809293865
117,2657.6578061768532
118,2679.916986389745
119,2702.1655563114746
120,2724.4110198159906
121,2746.6331752499245
122,2768.8461835197195
123,2791.0532842189587
124,2813.258137952414
125,2835.434801980569
126,2857.6112486953743
127,2879.786182348159
128,2901.9583608875673
129,2924.1285663473923
130,2946.29100427158
131,2968.4369826958273
132,2990.5772002070116
133,3012.708706782397
134,3034.834583525466
135,3056.957721045083
136,3079.0241379366093
137,3101.0864780624815
138,3123.136107723956
139,3145.155707347493
140,3167.1734466857633
141,3189.171347239428
142,3211.124932281498
143,3233.0776639506494
144,3255.0065760203943
145,3276.932231102727
146,3298.841611626999
147,3320.750039084432
148,3342.6555860918907
149,3364.533926135699
150,3386.408765527073
151,3408.2790645066475
152,3430.1411709771637
153,3452.0015456556857
154,3473.861135562802
155,3495.7156161013395
156,3517.564498440767
157,3539.388315630713
158,3561.201750740626
159,3582.9812534755647
160,3604.760474228446
161,3626.514297477512
162,3648.265837787252
163,3670.015913288211
164,3691.7607548369415
165,3713.4891622304744
166,3735.2078434412347
167,3756.898102615157
168,3778.5833869910566
169,3800.2561382713216
170,3821.9254749515408
171,3843.59300505786
172,3865.257365500342
173,3886.914906798581
174,3908.529715900143
175,3930.1429316514786
176,3951.7560822153273
177,3973.3248746883196
178,3994.8672033623907
179,4016.3665675617367
180,4037.8611139618242
181,4059.346899798549
182,4080.8301383466746
183,4102.311742337379
184,4123.793093908543
185,4145.268769863869
186,4166.7441731969575
187,4188.206001148731
188,4209.667603648102
189,4231.127683239881
190,4252.549031355699
191,4273.9532303280275
192,4295.344247292115
193,4316.721764447001
194,4338.089338057453
195,4359.37503382707
196,4380.654506498889
197,4401.9154591726465
198,4423.172664411728
199,4444.424639166139
200,4465.6668651265645
201,4486.889110615756
202,4508.101247554281
203,4529.264564067115
204,4550.403926942058
205,4571.533657791491
206,4592.652400643781
207,4613.746856873499
208,4634.821838513399
209,4655.895342192888
210,4676.936550347202
211,4697.957956624983
212,4718.960100826957
213,4739.947319262488
214,4760.919155641423
215,4781.865629184604
216,4802.758146838729
217,4823.643543139616
218,4844.475780618994
219,4865.267260171993
220,4886.044194728532
221,4906.803998729046
222,4927.563406415847
223,4948.309769753014
224,4969.042499831193
225,4989.773184295543
226,5010.453264512807
227,5031.116036222439
228,5051.761963446308
229,5072.400429919456
230,5092.999815690477
231,5113.598130895449
232,5134.1537312086
233,5154.682511417339
234,5175.12538467316
235,5195.536209540866
236,5215.937684351846
237,5236.334301999334
238,5256.730196183472
239,5277.027307527965
240,5297.3005073964505
241,5317.548708936347
242,5337.79662983183
243,5357.98977555179
244,5378.182160885276
245,5398.351425241008
246,5418.424724051641
247,5438.483317664055
248,5458.538229052284
249,5478.580029708744
250,5498.597653397933
251,5518.591510804652
252,5538.5571900156365
253,5558.522784106332
254,5578.381983871706
255,5598.230379882198
256,5618.073118469934
257,5637.904440531663
258,5657.722974354235
259,5677.540489338742
260,5697.349176636038
261,5717.151656964218
262,5736.928946418118
263,5756.684586874409
264,5776.377822558868
265,5796.049142295016
266,5815.685263998183
267,5835.319638737047
268,5854.944444842191
269,5874.560720379988
270,5894.152453226123
271,5913.659593036948
272,5933.159009285309
273,5952.600234349896
274,5972.003927120999
275,5991.404473779055
276,6010.769414324657
277,6030.126569009439
278,6049.462125174996
279,6068.782053212165
280,6088.098178597672
281,6107.397377111815
282,6126.695057965959
283,6145.949188541868
284,6165.20004166986
285,6184.431727884462
286,6203.650484960616
287,6222.867375512775
288,6242.078026134827
289,6261.286303832238
290,6280.482759476111
291,6299.670803089332
292,6318.816623051398
293,6337.916929423023
294,6356.998921037609
295,6376.055183186231
296,6395.084759637053
297,6414.061584908679
298,6432.992422362086
299,6451.917992492194
300,6470.836335193712
301,6489.742660229673
302,6508.640791253843
303,6527.517246182596
304,6546.378185127204
305,6565.182614915619
306,6583.964665241661
307,6602.738755160349
308,6621.489483023164
309,6640.231852598619
310,6658.924101022564
311,6677.567947014517
312,6696.200249002918
313,6714.824636733432
314,6733.433215134633
315,6751.980925633173
316,6770.518889422696
317,6789.051113793183
318,6807.529319590754
319,6825.937967395871
320,6844.325232578498
321,6862.705387832201
322,6881.068984741007
323,6899.395889986323
324,6917.715376402783
325,6936.004543214013
326,6954.277717858066
327,6972.546390003097
328,6990.800353104433
329,7009.05026418728
330,7027.296965483904
331,7045.542293737282
332,7063.771179366516
333,7081.999608591643
334,7100.196092482804
335,7118.257448115452
336,7136.243145917853
337,7154.198993171383
338,7172.078891337099
339,7189.911633355619
340,7207.733807134458
341,7225.542416986524
342,7243.341033411964
343,7261.12348171395
344,7278.857547210623
345,7296.507927093267
346,7314.140363322943
347,7331.75885021409
348,7349.376825870187
349,7366.99411460441
350,7384.585100770071
351,7402.171831175796
352,7419.703385877121
353,7437.223367009094
354,7454.719032173096
355,7472.1673412222635
356,7489.588871230307
357,7506.978943882801
358,7524.3635936853825
359,7541.7458657922925
360,7559.111180578063
361,7576.474103992911
362,7593.798758664289
363,7611.091110342825
364,7628.358584008004
365,7645.622004754074
366,7662.881433407166
367,7680.123567127194
368,7697.252738914519
369,7714.351029724067
370,7731.447438690209
371,7748.521314243553
372,7765.498651641089
373,7782.397016894994
374,7799.284936701594
375,7816.132798471555
376,7832.970655020262
377,7849.783250157626
378,7866.594122822338
379,7883.390516007378
380,7900.1294402066305
381,7916.775224504494
382,7933.408055169684
383,7950.035776983652
384,7966.655677715969
385,7983.271805588447
386,7999.8800289267365
387,8016.456087726836
388,8033.024765606726
389,8049.592563937663
390,8066.152585013171
391,8082.634408547536
392,8099.108146235944
393,8115.570630213532
394,8132.022962068914
395,8148.454532065615
396,8164.862121982042
397,8181.265160921768
398,8197.664159793505
399,8214.04745380908
400,8230.423128471914
401,8246.765240924591
402,8263.061535024073
403,8279.330015473297
404,8295.464567844525
405,8311.560941922882
406,8327.645220277733
407,8343.67688270103
408,8359.685814417104
409,8375.675431576134
410,8391.64431227483
411,8407.603734730308
412,8423.537699964103
413,8439.4709332428
414,8455.385201457972
415,8471.282407260976
416,8487.113873189313
417,8502.93805584275
418,8518.700883719112
419,8534.45627367204
420,8550.157760190414
421,8565.83999699544
422,8581.518964978897
423,8597.150024603547
424,8612.77376619393
425,8628.391038084637
426,8643.997295427787
427,8659.579271989456
428,8675.156936873438
429,8690.725036928112
430,8706.265761417073
431,8721.796942795258
432,8737.284785454554
433,8752.71161041882
434,8768.095297951677
435,8783.435879138297
436,8798.774624067048
437,8814.062374558902
438,8829.315265242065
439,8844.518270970677
440,8859.701222712469
441,8874.87775060842
442,8890.01555728255
443,8905.121999306388
444,8920.215143635747
445,8935.214396555763
446,8950.142597411914
447,8965.03102369407
448,8979.88827293806
449,8994.729849078218
450,9009.55922642322
451,9024.375324246672
452,9039.18116505174
453,9053.986947022204
454,9068.787441535898
455,9083.555552575059
456,9098.313610599565
457,9113.065646888348
458,9127.801773111609
459,9142.527626906982
460,9157.22263425091
461,9171.914024884596
462,9186.566967016654
463,9201.21627550684
464,9215.819693698193
465,9230.420606119345
466,9245.014130691707
467,9259.569698286876
468,9274.101173671474
469,9288.581946895716
470,9302.992298336549
471,9317.385868308376
472,9331.778390858013
473,9346.14354075473
474,9360.476132941092
475,9374.791346683463
476,9389.096611443414
477,9403.374356189172
478,9417.64739846359
479,9431.919981794448
480,9446.162211294937
481,9460.375902491181
482,9474.538053906297
483,9488.697913690017
484,9502.80365230157
485,9516.795739194364
486,9530.74788603216
487,9544.699044909174
488,9558.636751414366
489,9572.560942470513
490,9586.48106252209
491,9600.36949476702
492,9614.239288462297
493,9628.098700928187
494,9641.948988420107
495,9655.767484436414
496,9669.57746712268
497,9683.372295990603
498,9697.166054852214
499,9710.92653480871
500,9724.656443033653
501,9738.363585096979
502,9752.037105905409
503,9765.697196958436
504,9779.351484559049
505,9792.995553263496
506,9806.621213570643
